Gene Name (Hs),Functional Category,Included in which metabolic enzyme/transporter sets (please add your name if you are adding a new gene)
HK1,Glycolysis,In RP
HK2,Glycolysis,In RP
HK3,Glycolysis,In RP
HKDC1,Glycolysis,In RP
PDHA1,Glycolysis,In RP
PDHA2,Glycolysis,In RP
PDHB,Glycolysis,In RP
PDHX,Glycolysis,In RP
PFKFB1,Glycolysis,In RP
PFKFB2,Glycolysis,In RP
PFKFB3,Glycolysis,In RP
PFKFB4,Glycolysis,In RP
PFKL,Glycolysis,In RP
PFKM,Glycolysis,In RP
PFKP,Glycolysis,In RP
PGAM1,Glycolysis,In RP
PGAM2,Glycolysis,In RP
PGAM4,Glycolysis,In RP
PGAM5,Glycolysis,In RP
PGK1,Glycolysis,In RP
PGK2,Glycolysis,In RP
PGM1,Glycolysis,In RP
PGM2,Glycolysis,In RP
PGM2L1,Glycolysis,In RP
PGM5,Glycolysis,In RP
PKLR,Glycolysis,In RP
PKM2,Glycolysis,In RP
TPI1,Glycolysis,In RP
GLO1,Glyoxylate,In RP
GLOD4,Glyoxylate,In RP
GLOD5,Glyoxylate,In RP
HAO1,Glyoxylate,In RP
HAO2,Glyoxylate,In RP
EXT1,Heparin Sulfate,In RP
EXT2,Heparin Sulfate,In RP
EXT3,Heparin Sulfate,In RP
EXTL1,Heparin Sulfate,In RP
EXTL2,Heparin Sulfate,In RP
EXTL3,Heparin Sulfate,In RP
GLCE,Heparin Sulfate,In RP
HGSNAT,Heparin Sulfate,In RP
HPSE,Heparin Sulfate,In RP
HPSE2,Heparin Sulfate,In RP
HS2ST1,Heparin Sulfate,In RP
HS3ST1,Heparin Sulfate,In RP
HS3ST2,Heparin Sulfate,In RP
HS3ST3A1,Heparin Sulfate,In RP
HS3ST3B1,Heparin Sulfate,In RP
HS3ST4,Heparin Sulfate,In RP
HS3ST5,Heparin Sulfate,In RP
HS3ST6,Heparin Sulfate,In RP
HS6ST1,Heparin Sulfate,In RP
HS6ST2,Heparin Sulfate,In RP
HS6ST3,Heparin Sulfate,In RP
NDST1,Heparin Sulfate,In RP
NDST2,Heparin Sulfate,In RP
NDST3,Heparin Sulfate,In RP
NDST4,Heparin Sulfate,In RP
AMDHD1,Histidine,In RP
AMDHD2,Histidine,In RP
FTCD,Histidine,In RP
HAL,Histidine,In RP
HDC,Histidine,In RP
HNMT,Histidine,In RP
UROC1,Histidine,In RP
AANAT,Hormone,In RP
ACE,Hormone,In RP
ACE2,Hormone,In RP
ALOX12,Hormone,In RP
ALOX12B,Hormone,In RP
ALOX15,Hormone,In RP
ALOX15B,Hormone,In RP
ALOX5,Hormone,In RP
ALOX5AP,Hormone,In RP
ALOXE3,Hormone,In RP
AOF1,Hormone,In RP
AOF2,Hormone,In RP
ASMT,Hormone,In RP
ASMTL,Hormone,In RP
CYP20A1,Hormone,In RP
DIO1,Hormone,In RP
DIO2,Hormone,In RP
DIO3,Hormone,In RP
HPGD,Hormone,In RP
IYD,Hormone,In RP
LNPEP,Hormone,In RP
LTA4H,Hormone,In RP
LTC4S,Hormone,In RP
MME,Hormone,In RP
MMEL1,Hormone,In RP
PGDS,Hormone,In RP
PTGDS,Hormone,In RP
PTGES,Hormone,In RP
PTGES2,Hormone,In RP
PTGES3,Hormone,In RP
PTGIS,Hormone,In RP
PTGR1,Hormone,In RP
PTGR2,Hormone,In RP
PTGS1,Hormone,In RP
PTGS2,Hormone,In RP
TBXAS1,Hormone,In RP
TPO,Hormone,In RP
CDIPT,Inositol Phosphate,In RP
FIG4,Inositol Phosphate,In RP
IMPA1,Inositol Phosphate,In RP
IMPA2,Inositol Phosphate,In RP
IMPAD1,Inositol Phosphate,In RP
INPP1,Inositol Phosphate,In RP
INPP4A,Inositol Phosphate,In RP
INPP4B,Inositol Phosphate,In RP
INPP5A,Inositol Phosphate,In RP
INPP5B,Inositol Phosphate,In RP
INPP5D,Inositol Phosphate,In RP
INPP5E,Inositol Phosphate,In RP
INPP5F,Inositol Phosphate,In RP
INPP5J,Inositol Phosphate,In RP
INPP5K,Inositol Phosphate,In RP
INPPL1,Inositol Phosphate,In RP
IP6K1,Inositol Phosphate,In RP
IP6K2,Inositol Phosphate,In RP
IP6K3,Inositol Phosphate,In RP
IPMK,Inositol Phosphate,In RP
IPPK,Inositol Phosphate,In RP
ISYNA1,Inositol Phosphate,In RP
ITPK1,Inositol Phosphate,In RP
ITPKA,Inositol Phosphate,In RP
ITPKB,Inositol Phosphate,In RP
ITPKC,Inositol Phosphate,In RP
MINPP1,Inositol Phosphate,In RP
MIOX,Inositol Phosphate,In RP
PGAP1,Inositol Phosphate,In RP
PI4K2A,Inositol Phosphate,In RP
PI4K2B,Inositol Phosphate,In RP
PI4KA,Inositol Phosphate,In RP
PI4KB,Inositol Phosphate,In RP
PIK3C2A,Inositol Phosphate,In RP
PIK3C2B,Inositol Phosphate,In RP
PIK3C2G,Inositol Phosphate,In RP
PIK3C3,Inositol Phosphate,In RP
PIK3CA,Inositol Phosphate,In RP
PIK3CB,Inositol Phosphate,In RP
PIK3CD,Inositol Phosphate,In RP
PIK3CG,Inositol Phosphate,In RP
PIK3R1,Inositol Phosphate,In RP
PIK3R2,Inositol Phosphate,In RP
PIK3R3,Inositol Phosphate,In RP
PIK3R4,Inositol Phosphate,In RP
PIK3R5,Inositol Phosphate,In RP
PIK3R6,Inositol Phosphate,In RP
PIP4K2A,Inositol Phosphate,In RP
PIP4K2B,Inositol Phosphate,In RP
PIP4K2C,Inositol Phosphate,In RP
PIP5K1A,Inositol Phosphate,In RP
PIP5K1B,Inositol Phosphate,In RP
PIP5K1C,Inositol Phosphate,In RP
PIP5K3,Inositol Phosphate,In RP
PIP5KL1,Inositol Phosphate,In RP
PTEN,Inositol Phosphate,In RP
SYNJ1,Inositol Phosphate,In RP
SYNJ2,Inositol Phosphate,In RP
ATP11A,Ion Transport,In RP
ATP11B,Ion Transport,In RP
ATP11C,Ion Transport,In RP
ATP12A,Ion Transport,In RP
ATP1A1,Ion Transport,In RP
ATP1A2,Ion Transport,In RP
ATP1A3,Ion Transport,In RP
ATP1A4,Ion Transport,In RP
ATP1B1,Ion Transport,In RP
ATP1B2,Ion Transport,In RP
ATP1B3,Ion Transport,In RP
ATP1B4,Ion Transport,In RP
ATP2A1,Ion Transport,In RP
ATP2A2,Ion Transport,In RP
ATP2A3,Ion Transport,In RP
ATP2B1,Ion Transport,In RP
ATP2B2,Ion Transport,In RP
ATP2B3,Ion Transport,In RP
ATP2B4,Ion Transport,In RP
ATP2C1,Ion Transport,In RP
ATP2C2,Ion Transport,In RP
ATP3,Ion Transport,In RP
ATP4A,Ion Transport,In RP
ATP4B,Ion Transport,In RP
ATP7A,Ion Transport,In RP
ATP7B,Ion Transport,In RP
BEST1,Ion Transport,In RP
BEST2,Ion Transport,In RP
BEST3,Ion Transport,In RP
BEST4,Ion Transport,In RP
BSND,Ion Transport,In RP
C14orf68,Ion Transport,In RP
C20orf59,Ion Transport,In RP
C6orf192,Ion Transport,In RP
CACNA1A,Ion Transport,In RP
CACNA1B,Ion Transport,In RP
CACNA1C,Ion Transport,In RP
CACNA1D,Ion Transport,In RP
CACNA1E,Ion Transport,In RP
CACNA1F,Ion Transport,In RP
CACNA1G,Ion Transport,In RP
CACNA1H,Ion Transport,In RP
CACNA1I,Ion Transport,In RP
CACNA1S,Ion Transport,In RP
CACNA2D1,Ion Transport,In RP
CACNA2D2,Ion Transport,In RP
CACNA2D3,Ion Transport,In RP
CACNA2D4,Ion Transport,In RP
CACNB1,Ion Transport,In RP
CACNB2,Ion Transport,In RP
CACNB3,Ion Transport,In RP
CACNB4,Ion Transport,In RP
CACNG1,Ion Transport,In RP
CACNG2,Ion Transport,In RP
CACNG3,Ion Transport,In RP
CACNG4,Ion Transport,In RP
CACNG5,Ion Transport,In RP
CACNG6,Ion Transport,In RP
CACNG7,Ion Transport,In RP
CACNG8,Ion Transport,In RP
CATSPER1,Ion Transport,In RP
CATSPER2,Ion Transport,In RP
CATSPER3,Ion Transport,In RP
CATSPERB,Ion Transport,In RP
CFTR,Ion Transport,In RP
CHRNA1,Ion Transport,In RP
CHRNA10,Ion Transport,In RP
CHRNA2,Ion Transport,In RP
CHRNA3,Ion Transport,In RP
CHRNA4,Ion Transport,In RP
CHRNA5,Ion Transport,In RP
CHRNA6,Ion Transport,In RP
CHRNA7,Ion Transport,In RP
CHRNA9,Ion Transport,In RP
CHRNB1,Ion Transport,In RP
CHRNB2,Ion Transport,In RP
CHRNB3,Ion Transport,In RP
CHRNB4,Ion Transport,In RP
CHRND,Ion Transport,In RP
CHRNE,Ion Transport,In RP
CHRNG,Ion Transport,In RP
CLCA1,Ion Transport,In RP
CLCA2,Ion Transport,In RP
CLCA3,Ion Transport,In RP
CLCA4,Ion Transport,In RP
CLCC1,Ion Transport,In RP
CLCN1,Ion Transport,In RP
CLCN2,Ion Transport,In RP
CLCN3,Ion Transport,In RP
CLCN4,Ion Transport,In RP
CLCN5,Ion Transport,In RP
CLCN6,Ion Transport,In RP
CLCN7,Ion Transport,In RP
CLCNKA,Ion Transport,In RP
CLCNKB,Ion Transport,In RP
CLIC1,Ion Transport,In RP
CLIC2,Ion Transport,In RP
CLIC3,Ion Transport,In RP
CLIC4,Ion Transport,In RP
CLIC5,Ion Transport,In RP
CLIC6,Ion Transport,In RP
CNGA1,Ion Transport,In RP
CNGA2,Ion Transport,In RP
CNGA3,Ion Transport,In RP
CNGA4,Ion Transport,In RP
CNGB1,Ion Transport,In RP
CNGB3,Ion Transport,In RP
GABRA1,Ion Transport,In RP
GABRA2,Ion Transport,In RP
GABRA3,Ion Transport,In RP
GABRA4,Ion Transport,In RP
GABRA5,Ion Transport,In RP
GABRA6,Ion Transport,In RP
GABRB1,Ion Transport,In RP
GABRB2,Ion Transport,In RP
GABRB3,Ion Transport,In RP
GABRD,Ion Transport,In RP
GABRE,Ion Transport,In RP
GABRG1,Ion Transport,In RP
GABRG2,Ion Transport,In RP
GABRG3,Ion Transport,In RP
GABRP,Ion Transport,In RP
GABRQ,Ion Transport,In RP
GABRR1,Ion Transport,In RP
GABRR2,Ion Transport,In RP
GABRR3,Ion Transport,In RP
GLRA1,Ion Transport,In RP
GLRA2,Ion Transport,In RP
GLRA3,Ion Transport,In RP
GLRA4,Ion Transport,In RP
GLRB,Ion Transport,In RP
GRIA1,Ion Transport,In RP
GRIA2,Ion Transport,In RP
GRIA3,Ion Transport,In RP
GRIA4,Ion Transport,In RP
GRID1,Ion Transport,In RP
GRID2,Ion Transport,In RP
GRIK1,Ion Transport,In RP
GRIK2,Ion Transport,In RP
GRIK3,Ion Transport,In RP
GRIK4,Ion Transport,In RP
GRIK5,Ion Transport,In RP
GRIN1,Ion Transport,In RP
GRIN2A,Ion Transport,In RP
GRIN2B,Ion Transport,In RP
GRIN2C,Ion Transport,In RP
GRIN2D,Ion Transport,In RP
GRIN3A,Ion Transport,In RP
GRIN3B,Ion Transport,In RP
HCN1,Ion Transport,In RP
HCN2,Ion Transport,In RP
HCN3,Ion Transport,In RP
HCN4,Ion Transport,In RP
HTR3A,Ion Transport,In RP
HTR3B,Ion Transport,In RP
HTR3C,Ion Transport,In RP
HTR3D,Ion Transport,In RP
HTR3E,Ion Transport,In RP
ITPR1,Ion Transport,In RP
ITPR2,Ion Transport,In RP
ITPR3,Ion Transport,In RP
KCNA1,Ion Transport,In RP
KCNA10,Ion Transport,In RP
KCNA2,Ion Transport,In RP
KCNA3,Ion Transport,In RP
KCNA4,Ion Transport,In RP
KCNA5,Ion Transport,In RP
KCNA6,Ion Transport,In RP
KCNA7,Ion Transport,In RP
KCNAB1,Ion Transport,In RP
KCNAB2,Ion Transport,In RP
KCNAB3,Ion Transport,In RP
KCNB1,Ion Transport,In RP
KCNB2,Ion Transport,In RP
KCNC1,Ion Transport,In RP
KCNC2,Ion Transport,In RP
KCNC3,Ion Transport,In RP
KCNC4,Ion Transport,In RP
KCND1,Ion Transport,In RP
KCND2,Ion Transport,In RP
KCND3,Ion Transport,In RP
KCNE1,Ion Transport,In RP
KCNE1L,Ion Transport,In RP
KCNE2,Ion Transport,In RP
KCNE3,Ion Transport,In RP
KCNE4,Ion Transport,In RP
KCNF1,Ion Transport,In RP
KCNG1,Ion Transport,In RP
KCNG2,Ion Transport,In RP
KCNG3,Ion Transport,In RP
KCNG4,Ion Transport,In RP
KCNH1,Ion Transport,In RP
KCNH2,Ion Transport,In RP
KCNH3,Ion Transport,In RP
KCNH4,Ion Transport,In RP
KCNH5,Ion Transport,In RP
KCNH6,Ion Transport,In RP
KCNH7,Ion Transport,In RP
KCNH8,Ion Transport,In RP
KCNJ1,Ion Transport,In RP
KCNJ10,Ion Transport,In RP
KCNJ11,Ion Transport,In RP
KCNJ12,Ion Transport,In RP
KCNJ13,Ion Transport,In RP
KCNJ14,Ion Transport,In RP
KCNJ15,Ion Transport,In RP
KCNJ16,Ion Transport,In RP
KCNJ2,Ion Transport,In RP
KCNJ3,Ion Transport,In RP
KCNJ4,Ion Transport,In RP
KCNJ5,Ion Transport,In RP
KCNJ6,Ion Transport,In RP
KCNJ8,Ion Transport,In RP
KCNJ9,Ion Transport,In RP
KCNK1,Ion Transport,In RP
KCNK10,Ion Transport,In RP
KCNK12,Ion Transport,In RP
KCNK13,Ion Transport,In RP
KCNK15,Ion Transport,In RP
KCNK16,Ion Transport,In RP
KCNK17,Ion Transport,In RP
KCNK18,Ion Transport,In RP
KCNK2,Ion Transport,In RP
KCNK3,Ion Transport,In RP
KCNK4,Ion Transport,In RP
KCNK5,Ion Transport,In RP
KCNK6,Ion Transport,In RP
KCNK7,Ion Transport,In RP
KCNK9,Ion Transport,In RP
KCNMA1,Ion Transport,In RP
KCNMB1,Ion Transport,In RP
KCNMB2,Ion Transport,In RP
KCNMB3,Ion Transport,In RP
KCNMB4,Ion Transport,In RP
KCNN1,Ion Transport,In RP
KCNN2,Ion Transport,In RP
KCNN3,Ion Transport,In RP
KCNN4,Ion Transport,In RP
KCNQ1,Ion Transport,In RP
KCNQ2,Ion Transport,In RP
KCNQ3,Ion Transport,In RP
KCNQ4,Ion Transport,In RP
KCNQ5,Ion Transport,In RP
KCNS1,Ion Transport,In RP
KCNS2,Ion Transport,In RP
KCNS3,Ion Transport,In RP
KCNT1,Ion Transport,In RP
KCNT2,Ion Transport,In RP
KCNU1,Ion Transport,In RP
KCNV1,Ion Transport,In RP
KCNV2,Ion Transport,In RP
KCTD1,Ion Transport,In RP
KCTD10,Ion Transport,In RP
KCTD11,Ion Transport,In RP
KCTD12,Ion Transport,In RP
KCTD13,Ion Transport,In RP
KCTD14,Ion Transport,In RP
KCTD15,Ion Transport,In RP
KCTD16,Ion Transport,In RP
KCTD17,Ion Transport,In RP
KCTD18,Ion Transport,In RP
KCTD19,Ion Transport,In RP
KCTD2,Ion Transport,In RP
KCTD20,Ion Transport,In RP
KCTD21,Ion Transport,In RP
KCTD3,Ion Transport,In RP
KCTD4,Ion Transport,In RP
KCTD5,Ion Transport,In RP
KCTD6,Ion Transport,In RP
KCTD7,Ion Transport,In RP
KCTD8,Ion Transport,In RP
KCTD9,Ion Transport,In RP
P2RX1,Ion Transport,In RP
P2RX2,Ion Transport,In RP
P2RX3,Ion Transport,In RP
P2RX4,Ion Transport,In RP
P2RX5,Ion Transport,In RP
P2RX6,Ion Transport,In RP
P2RX7,Ion Transport,In RP
SCN10A,Ion Transport,In RP
SCN11A,Ion Transport,In RP
SCN1A,Ion Transport,In RP
SCN1B,Ion Transport,In RP
SCN2A,Ion Transport,In RP
SCN2B,Ion Transport,In RP
SCN3A,Ion Transport,In RP
SCN3B,Ion Transport,In RP
SCN4A,Ion Transport,In RP
SCN4B,Ion Transport,In RP
SCN5A,Ion Transport,In RP
SCN7A,Ion Transport,In RP
SCN8A,Ion Transport,In RP
SCN9A,Ion Transport,In RP
SCNN1A,Ion Transport,In RP
SCNN1B,Ion Transport,In RP
SCNN1D,Ion Transport,In RP
SCNN1G,Ion Transport,In RP
SLC11A1,Ion Transport,In RP
SLC11A2,Ion Transport,In RP
SLC12A1,Ion Transport,In RP
SLC12A2,Ion Transport,In RP
SLC12A3,Ion Transport,In RP
SLC12A4,Ion Transport,In RP
SLC12A5,Ion Transport,In RP
SLC12A6,Ion Transport,In RP
SLC12A7,Ion Transport,In RP
SLC12A8,Ion Transport,In RP
SLC12A9,Ion Transport,In RP
SLC13A1,Ion Transport,In RP
SLC13A2,Ion Transport,In RP
SLC13A3,Ion Transport,In RP
SLC13A4,Ion Transport,In RP
SLC13A5,Ion Transport,In RP
SLC24A1,Ion Transport,In RP
SLC24A2,Ion Transport,In RP
SLC24A3,Ion Transport,In RP
SLC24A4,Ion Transport,In RP
SLC24A5,Ion Transport,In RP
SLC24A6,Ion Transport,In RP
SLC30A1,Ion Transport,In RP
SLC30A10,Ion Transport,In RP
SLC30A2,Ion Transport,In RP
SLC30A3,Ion Transport,In RP
SLC30A4,Ion Transport,In RP
SLC30A5,Ion Transport,In RP
SLC30A6,Ion Transport,In RP
SLC30A7,Ion Transport,In RP
SLC30A8,Ion Transport,In RP
SLC30A9,Ion Transport,In RP
SLC39A1,Ion Transport,In RP
SLC39A10,Ion Transport,In RP
SLC39A11,Ion Transport,In RP
SLC39A12,Ion Transport,In RP
SLC39A13,Ion Transport,In RP
SLC39A14,Ion Transport,In RP
SLC39A2,Ion Transport,In RP
SLC39A3,Ion Transport,In RP
SLC39A4,Ion Transport,In RP
SLC39A5,Ion Transport,In RP
SLC39A6,Ion Transport,In RP
SLC39A7,Ion Transport,In RP
SLC39A8,Ion Transport,In RP
SLC39A9,Ion Transport,In RP
SLC3A1,Ion Transport,In RP
SLC3A2,Ion Transport,In RP
SLC40A1,Ion Transport,In RP
SLC41A1,Ion Transport,In RP
SLC41A2,Ion Transport,In RP
SLC41A3,Ion Transport,In RP
VDAC1,Ion Transport,In RP
VDAC2,Ion Transport,In RP
VDAC3,Ion Transport,In RP
ZACN,Ion Transport,In RP
HEPH,Ion Transport,In RP
LGICZ1,Ion Transport,In RP
LST-3TM12,Ion Transport,In RP
MAGT1,Ion Transport,In RP
MCOLN1,Ion Transport,In RP
MCOLN2,Ion Transport,In RP
MCOLN3,Ion Transport,In RP
MMAA,Ion Transport,In RP
NALCN,Ion Transport,In RP
NIPA1,Ion Transport,In RP
OCA2,Ion Transport,In RP
ORAI1,Ion Transport,In RP
ORAI2,Ion Transport,In RP
ORAI3,Ion Transport,In RP
PKD1,Ion Transport,In RP
PKD2,Ion Transport,In RP
PKD2L1,Ion Transport,In RP
RYR1,Ion Transport,In RP
RYR2,Ion Transport,In RP
RYR3,Ion Transport,In RP
SLC22A24,Ion Transport,In RP
SLC25A25,Ion Transport,In RP
SLC31A1,Ion Transport,In RP
SLC31A2,Ion Transport,In RP
SLN,Ion Transport,In RP
TCN1,Ion Transport,In RP
TCN2,Ion Transport,In RP
TF,Ion Transport,In RP
TRPA1,Ion Transport,In RP
TRPC1,Ion Transport,In RP
TRPC3,Ion Transport,In RP
TRPC4,Ion Transport,In RP
TRPC5,Ion Transport,In RP
TRPC6,Ion Transport,In RP
TRPC7,Ion Transport,In RP
TRPM1,Ion Transport,In RP
TRPM2,Ion Transport,In RP
TRPM3,Ion Transport,In RP
TRPM4,Ion Transport,In RP
TRPM5,Ion Transport,In RP
TRPM6,Ion Transport,In RP
TRPM7,Ion Transport,In RP
TRPM8,Ion Transport,In RP
TRPV1,Ion Transport,In RP
TRPV2,Ion Transport,In RP
TRPV3,Ion Transport,In RP
TRPV4,Ion Transport,In RP
TRPV5,Ion Transport,In RP
TRPV6,Ion Transport,In RP
TTYH1,Ion Transport,In RP
TTYH2,Ion Transport,In RP
TTYH3,Ion Transport,In RP
BDH1,Ketone Bodies,In RP
BDH2,Ketone Bodies,In RP
OXCT1,Ketone Bodies,In RP
OXCT2,Ketone Bodies,In RP
ACLY,Krebs,In RP
ACO1,Krebs,In RP
ACO2,Krebs,In RP
CS,Krebs,In RP
D2HGDH,Krebs,In RP
DLST ,Krebs,In RP
FH,Krebs,In RP
HCCS,Krebs,In RP
IDH1,Krebs,In RP
IDH2,Krebs,In RP
IDH3A,Krebs,In RP
IDH3B,Krebs,In RP
IDH3G,Krebs,In RP
L2HGDH,Krebs,In RP
MDH1,Krebs,In RP
MDH1B,Krebs,In RP
MDH2,Krebs,In RP
ME1,Krebs,In RP
ME2,Krebs,In RP
ME3,Krebs,In RP
OGDH,Krebs,In RP
OGDHL,Krebs,In RP
PC,Krebs,In RP
SUCLA2,Krebs,In RP
SUCLG1,Krebs,In RP
SUCLG2,Krebs,In RP
AASDH,Lysine,In RP
AASDHPPT,Lysine,In RP
AASS,Lysine,In RP
PIPOX,Lysine,In RP
AGPAT1,Membrane Lipid,In RP
AGPAT2,Membrane Lipid,In RP
AGPAT3,Membrane Lipid,In RP
AGPAT4,Membrane Lipid,In RP
AGPAT5,Membrane Lipid,In RP
GPAT4,Membrane Lipid,In RP
GPAT3,Membrane Lipid,In RP
CDS1,Membrane Lipid,In RP
CDS2,Membrane Lipid,In RP
CEPT1,Membrane Lipid,In RP
CHKA,Membrane Lipid,In RP
CHKB ,Membrane Lipid,In RP
CHPT1,Membrane Lipid,In RP
CLC,Membrane Lipid,In RP
CRLS1,Membrane Lipid,In RP
CROT,Membrane Lipid,In RP
DAGLA,Membrane Lipid,In RP
DAGLB,Membrane Lipid,In RP
DGKA,Membrane Lipid,In RP
DGKB,Membrane Lipid,In RP
DGKD,Membrane Lipid,In RP
DGKE,Membrane Lipid,In RP
DGKG,Membrane Lipid,In RP
DGKH,Membrane Lipid,In RP
DGKI,Membrane Lipid,In RP
DGKK,Membrane Lipid,In RP
DGKQ,Membrane Lipid,In RP
DGKZ,Membrane Lipid,In RP
ETNK1,Membrane Lipid,In RP
ETNK2,Membrane Lipid,In RP
GDE1,Membrane Lipid,In RP
GK,Membrane Lipid,In RP
GK2,Membrane Lipid,In RP
GK5,Membrane Lipid,In RP
GNPAT,Membrane Lipid,In RP
GPAM,Membrane Lipid,In RP
GPD1,Membrane Lipid,In RP
GPD1L,Membrane Lipid,In RP
GPD2,Membrane Lipid,In RP
LPCAT1,Membrane Lipid,In RP
LPCAT2,Membrane Lipid,In RP
LPCAT3,Membrane Lipid,In RP
LPCAT4,Membrane Lipid,In RP
LPGAT1,Membrane Lipid,In RP
LPIN1,Membrane Lipid,In RP
LPIN2,Membrane Lipid,In RP
LPIN3,Membrane Lipid,In RP
LYPLA1,Membrane Lipid,In RP
LYPLA2,Membrane Lipid,In RP
LYPLAL1,Membrane Lipid,In RP
MBOAT1,Membrane Lipid,In RP
MBOAT2,Membrane Lipid,In RP
MBOAT4,Membrane Lipid,In RP
MBOAT7,Membrane Lipid,In RP
MOGAT1,Membrane Lipid,In RP
MOGAT2,Membrane Lipid,In RP
MOGAT3,Membrane Lipid,In RP
NAPE-PLD,Membrane Lipid,In RP
PAP2D,Membrane Lipid,In RP
PCYT1A,Membrane Lipid,In RP
PCYT1B,Membrane Lipid,In RP
PCYT2,Membrane Lipid,In RP
PEMT,Membrane Lipid,In RP
PGS1,Membrane Lipid,In RP
PHOSPHO1,Membrane Lipid,In RP
PISD,Membrane Lipid,In RP
PLA1A,Membrane Lipid,In RP
PLA2G10,Membrane Lipid,In RP
PLA2G12A,Membrane Lipid,In RP
PLA2G12B,Membrane Lipid,In RP
PLA2G15,Membrane Lipid,In RP
PLA2G16,Membrane Lipid,In RP
PLA2G1B,Membrane Lipid,In RP
PLA2G2A,Membrane Lipid,In RP
PLA2G2C,Membrane Lipid,In RP
PLA2G2D,Membrane Lipid,In RP
PLA2G2E,Membrane Lipid,In RP
PLA2G2F,Membrane Lipid,In RP
PLA2G3,Membrane Lipid,In RP
PLA2G4A,Membrane Lipid,In RP
PLA2G4B,Membrane Lipid,In RP
PLA2G4C,Membrane Lipid,In RP
PLA2G4D,Membrane Lipid,In RP
PLA2G4E,Membrane Lipid,In RP
PLA2G4F,Membrane Lipid,In RP
PLA2G5,Membrane Lipid,In RP
PLA2G6,Membrane Lipid,In RP
PLA2G7,Membrane Lipid,In RP
PLB1,Membrane Lipid,In RP
PLCB1,Membrane Lipid,In RP
PLCB2,Membrane Lipid,In RP
PLCB3,Membrane Lipid,In RP
PLCB4,Membrane Lipid,In RP
PLCD1,Membrane Lipid,In RP
PLCD3,Membrane Lipid,In RP
PLCD4,Membrane Lipid,In RP
PLCE1,Membrane Lipid,In RP
PLCG1,Membrane Lipid,In RP
PLCG2,Membrane Lipid,In RP
PLCH1,Membrane Lipid,In RP
PLCH2,Membrane Lipid,In RP
PLCL1,Membrane Lipid,In RP
PLCL2,Membrane Lipid,In RP
PLCXD1,Membrane Lipid,In RP
PLCXD2,Membrane Lipid,In RP
PLCXD3,Membrane Lipid,In RP
PLCZ1,Membrane Lipid,In RP
PLD1,Membrane Lipid,In RP
PLD2,Membrane Lipid,In RP
PLD3,Membrane Lipid,In RP
PLD4,Membrane Lipid,In RP
PLD5,Membrane Lipid,In RP
PLD6,Membrane Lipid,In RP
PPAP2A,Membrane Lipid,In RP
PPAP2B,Membrane Lipid,In RP
PPAP2C,Membrane Lipid,In RP
PPAPDC1A,Membrane Lipid,In RP
PPAPDC1B,Membrane Lipid,In RP
PPAPDC2,Membrane Lipid,In RP
PPAPDC3,Membrane Lipid,In RP
PRG2,Membrane Lipid,In RP
PTDSS1,Membrane Lipid,In RP
PTDSS2,Membrane Lipid,In RP
MAT1A,Methionine,In RP
MAT2A,Methionine,In RP
MAT2B,Methionine,In RP
MSRA,Methionine,In RP
MSRB2,Methionine,In RP
MSRB3,Methionine,In RP
MTR,Methionine,In RP
SEPX1,Methionine,In RP
HMGCR,Mevalonate,In RP
HMGCS1,Mevalonate,In RP
HMGCS2,Mevalonate,In RP
IDI1,Mevalonate,In RP
IDI2,Mevalonate,In RP
MVD,Mevalonate,In RP
MVK,Mevalonate,In RP
PMVK,Mevalonate,In RP
ABHD1,Multipurpose,In RP
ABHD10,Multipurpose,In RP
ABHD11,Multipurpose,In RP
ABHD12,Multipurpose,In RP
ABHD12B,Multipurpose,In RP
ABHD13,Multipurpose,In RP
ABHD14A,Multipurpose,In RP
ABHD14B,Multipurpose,In RP
ABHD2,Multipurpose,In RP
ABHD3,Multipurpose,In RP
ABHD4,Multipurpose,In RP
ABHD5,Multipurpose,In RP
ABHD6,Multipurpose,In RP
ABHD7,Multipurpose,In RP
ABHD8,Multipurpose,In RP
ABHD9,Multipurpose,In RP
ABP1,Multipurpose,In RP
ACYP1,Multipurpose,In RP
ACYP2,Multipurpose,In RP
ADH1A,Multipurpose,In RP
ADH1B,Multipurpose,In RP
ADH1C,Multipurpose,In RP
ADH4,Multipurpose,In RP
ADH5,Multipurpose,In RP
ADH6,Multipurpose,In RP
ADH7,Multipurpose,In RP
ADHFE1,Multipurpose,In RP
AKR1A1,Multipurpose,In RP
AKR1B1,Multipurpose,In RP
AKR1B10,Multipurpose,In RP
AKR1C1,Multipurpose,In RP
AKR1C2,Multipurpose,In RP
AKR1C3,Multipurpose,In RP
AKR7A2,Multipurpose,In RP
AKR7A3,Multipurpose,In RP
ALDH16A1,Multipurpose,In RP
ALDH1A1,Multipurpose,In RP
ALDH1A2,Multipurpose,In RP
ALDH1A3,Multipurpose,In RP
ALDH1B1,Multipurpose,In RP
ALDH1L1,Multipurpose,In RP
ALDH1L2,Multipurpose,In RP
ALDH2,Multipurpose,In RP
ALDH3A1,Multipurpose,In RP
ALDH3A2,Multipurpose,In RP
ALDH3B1,Multipurpose,In RP
ALDH3B2,Multipurpose,In RP
ALDH6A1,Multipurpose,In RP
ALDH7A1,Multipurpose,In RP
ALDH8A1,Multipurpose,In RP
ALDH9A1,Multipurpose,In RP
AOC2,Multipurpose,In RP
