# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "10" "-p" "-O" "-M" "--fraction" "-F" "SAF" "-a" "230907_all_genebodies.saf" "-o" "230920_bd302_pol2_at_genebodies.txt" "/home/briando/data/files/220211VanA/mm10/results/bowtie2_bam/ERHoxa9_PolIIS2_DMSO_24h_aligned_sorted_rmdup_noblacklist.bam" "/home/briando/data/files/220211VanA/mm10/results/bowtie2_bam/ERHoxa9_PolIIS2_BRQ_1uM_24h_aligned_sorted_rmdup_noblacklist.bam" "/home/briando/data/files/220211VanA/mm10/results/bowtie2_bam/ERHoxa9_PolIIS2_E2wd_24h_aligned_sorted_rmdup_noblacklist.bam" "/home/briando/data/files/211201Van/results/bowtie2_bam/IgG_dsDNA_Mixed_aligned_sorted_rmdup.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/briando/data/files/220211VanA/mm10/results/bowtie2_bam/ERHoxa9_PolIIS2_DMSO_24h_aligned_sorted_rmdup_noblacklist.bam	/home/briando/data/files/220211VanA/mm10/results/bowtie2_bam/ERHoxa9_PolIIS2_BRQ_1uM_24h_aligned_sorted_rmdup_noblacklist.bam	/home/briando/data/files/220211VanA/mm10/results/bowtie2_bam/ERHoxa9_PolIIS2_E2wd_24h_aligned_sorted_rmdup_noblacklist.bam	/home/briando/data/files/211201Van/results/bowtie2_bam/IgG_dsDNA_Mixed_aligned_sorted_rmdup.bam
Ptp4a2	chr4	129811469	129850003	+	38535	1042	1002	670	121
Ptp4a3	chr15	73723395	73758766	+	35372	745	493	307	169
Ptpn1	chr2	167932307	167979385	+	47079	1014	1258	596	204
Ptpn11	chr5	121130533	121191147	-	60615	1824	1743	1028	322
Ptpn12	chr5	20986645	21055661	-	69017	2075	1952	946	309
Dusp1	chr17	26505590	26561878	-	56289	1314	1135	710	231.50
Ptpn18	chr1	34460015	34475733	+	15719	265	199	104	50
Ptpn2	chr18	67665511	67724345	-	58835	1086	1096	602	218
Ptpn4	chr1	119652467	119837363	-	184897	2390	1772	1183	467
Ptpn22	chr3	103860045	103912247	+	52203	832	1178	720	154
Sirpa	chr2	129593085	129632228	+	39144	804	1159	727	178
Ptpra	chr2	130450528	130556124	+	105597	1840	1832.50	1122	316
Ptprc	chr1	138062861	138175458	-	112598	2407	3736	1485	337
Ptprcap	chr19	4153854	4156751	+	2898	87.67	109.00	56.50	4.50
Cabp7	chr11	4736892	4746528	-	9637	166	144	101.50	42
Wdr81	chr11	75440944	75454467	-	13524	275	307	149	72
Pla2g15	chr8	106150649	106164715	+	14067	289	315	187	53
Ripk2	chr4	16122733	16163397	-	40665	305	290	236	113
Ell2	chr13	75707007	75772364	+	65358	786	702	477	195
Arhgdia	chr11	120578104	120581374	-	3271	155	115	116	31
Ptpre	chr7	135537731	135686293	+	148563	8664.50	10186.50	3963	535.50
Rassf3	chr10	121410350	121476097	-	65748	1009	1257	679	238
Ptprf	chr4	118208213	118291155	-	82943	1147	785	528	340
Ptprj	chr2	90429754	90580397	-	150644	1452	1873	924	514
Ptpru	chr4	131768457	131838038	-	69582	622	456	364	265
Ptprm	chr17	66666947	67354207	-	687261	2900	2552	2050	1806
Ptprn	chr1	75247027	75264252	-	17226	267	224	121	62
Ptpro	chr6	137252569	137463233	+	210665	675	640	596	554
Rapgef6	chr11	54523097	54699285	+	176189	2824	2562	1805	432
Ptprs	chr17	56412426	56476233	-	63808	1695	1769	732	283
Ptprt	chr2	161521990	162660897	-	1138908	2911	3358	2777	2839
Pts	chr9	50521617	50528474	-	6858	121	99	74	27
Itgb4	chr11	115974959	116008412	+	33454	897.50	631.50	417.50	149
Pura	chr18	36281347	36292535	+	11189	320	259	185	35
Purb	chr11	6467599	6475667	-	8069	218	186	105	33
Pvt1	chr15	62038236	62378096	+	339861	4578	2695	1988	1073
Dhrs11	chr11	84820856	84828744	-	7889	365	250	233	34
Lrrc75a	chr11	62604884	62648273	-	43390	2538.50	1180	1050	178
Pex19	chr1	172127005	172136493	+	9489	171	158	113	41
Cyb5d2	chr11	72777232	72795892	-	18661	399	287	205	80
Abcd3	chr3	121758774	121815052	-	56279	926	785	472	193
Abcd4	chr12	84602533	84617163	-	14631	164	126	87	53
Pxmp2	chr5	110274282	110285936	-	11655	368	274	173	62
Pex2	chr3	5560188	5575989	-	15802	188	200	112	43
Pxn	chr5	115506926	115555987	+	49062	2256	2541	1236	353
Pex5	chr6	124396816	124414817	-	18002	331	251	210	67
Slu7	chr11	43433994	43447981	+	13988	181	212	109	41
Qk	chr17	10202601	10319604	-	117004	1800	1439	988	261
Rab10	chr12	3247428	3309719	-	62292	1011	1004	644.50	179.50
Rab11b	chr17	33742484	33760280	-	17797	587	535	322	60
Rab12	chr17	66494512	66519479	-	24968	289	256	177	93
C030037D09Rik	chr11	88718895	88728893	+	9999	131	102	66	36
Rab17	chr1	90958133	90969411	-	11279	152	83	52	36
Rab18	chr18	6734155	6794429	+	60275	705	615	437	166
Rab19	chr6	39381425	39390380	+	8956	120	87	79	30
Rab20	chr8	11453518	11478460	-	24943	296	281	175	111
Rab22a	chr2	173660010	173707343	+	47334	793	702	421	157
Rab24	chr13	55319743	55321696	-	1954	83	48	37.50	8.50
Rab33b	chr3	51484170	51496232	+	12063	329	361	215	48
Rab3a	chr8	70754929	70758677	+	3749	124	139	69	16
Rab3d	chr9	21907491	21917942	-	10452	212	198	147	43
Rab4a	chr8	123806235	123835287	+	29053	193	164.50	100.50	60
Rab4b	chr7	27168424	27180836	-	12413	416	361	197	41
Rab5b	chr10	128677175	128696014	-	18840	442	410	287	69
Rab5c	chr11	100715009	100737965	-	22957	635	584	347	98
Zfp184	chr13	21945344	21960779	+	15436	187	168	101	40
Rab6a	chr7	100607660	100641268	+	33609	641	552	408.50	93
Dennd5a	chr7	109893780	109960220	-	66441	1176	1198	697	220
Kif20a	chr18	34624863	34633277	+	8415	354.50	277.50	153	42.50
Rab7	chr6	87999106	88045020	-	45915	1019.50	986.50	571	136.50
Rabggtb	chr3	153907287	153912759	-	5473	389	235	164	20
Rac1	chr5	143503634	143527786	-	24153	783	876	497.50	145
Rac2	chr15	78559167	78572533	-	13367	702	889	431	65
Rad1	chr15	10486268	10499063	+	12796	249	124	109	30
Rad17	chr13	100617164	100650801	-	33638	491	428	339	86
Rad21	chr15	51962240	51991497	-	29258	742	708	415	90
Rad23a	chr8	84834019	84840415	-	6397	887	813	556.50	27.50
Rad23b	chr4	55350293	55392237	+	41945	1146	888	575	120
Rad50	chr11	53649519	53707069	-	57551	1167	1037	634	184
Rad51	chr2	119113043	119147445	+	34403	729.50	556	346	84
Rad51ap1	chr6	126923050	126939337	-	16288	208	199	133	47
Rad51b	chr12	79297532	79814690	+	517159	4768	3222	2644	1581
Rad51d	chr11	82876434	82890364	-	13931	256	196	124	60
Rad52	chr6	119902948	119922828	+	19881	548	552	255	60
Rad54l	chr4	116094264	116123440	-	29177	674.50	523	314	84
Rad9a	chr19	4195196	4201412	-	6217	324	332	202.50	33
Rnf185	chr11	3415982	3452113	-	36132	569	472	330.50	125
Rag1	chr2	101638282	101649251	-	10970	104	73	42	33
Zbtb12	chr17	34879733	34896867	+	17135	188.17	144.67	95.17	39.83
Rag2	chr2	101624968	101632529	+	7562	66	42	28	21
Abhd16a	chr17	35089513	35102987	+	13475	325	322	171	66
Rai1	chr11	60105263	60199197	+	93935	4003	3705.50	1759	449.50
Kdm4b	chr17	56326312	56402870	+	76559	1999	1843	1035	361
Mcfd2	chr17	87254443	87265685	-	11243	333	384	228	57
Raly	chr2	154791346	154867261	+	75916	1176.50	1044	622	127
Eme2	chr17	24888486	24894837	-	6352	158.33	123.50	79.17	14
Ran	chr5	129020319	129024323	+	4005	359	226	122	22
Ranbp1	chr16	18239784	18248482	-	8699	319	197.67	144.33	25
Ranbp2	chr10	58447170	58494356	+	47187	1370	1406	886	98
Rangap1	chr15	81704248	81745280	-	41033	1377.50	1068.50	591.50	156.50
Rasgrp2	chr19	6399590	6415216	+	15627	745	954	471	106
Rapsn	chr2	91035870	91045729	+	9860	282	345	119	39
Rara	chr11	98928068	98974942	+	46875	1056	917	546	240
Rarg	chr15	102234938	102257267	-	22330	392	423	220	88
Rasa3	chr8	13566948	13677353	-	110406	2705	3120	1375	471
Rasal1	chr5	120649062	120679597	+	30536	561	462	264	205
Rasd1	chr11	59963181	59964694	-	1514	76	45	31	11
9930104L06Rik	chr4	124937298	124944656	+	7359	129	113.50	72	30.50
Tet3	chr6	83362373	83458834	-	96462	2796	2723	1493	344
Mical3	chr6	120931707	121130749	-	199043	3228	3343	1546	783
Klf11	chr12	24651524	24662789	+	11266	221	170	122	47
Slc25a43	chrX	36743909	36777202	+	33294	443	323	213	164
Jmjd4	chr11	59450295	59458567	+	8273	191.50	134.50	88.50	32
Zzef1	chr11	72796476	72927120	+	130645	2166	1864	1279	455
Tmem199	chr11	78507055	78511922	-	4868	74	67	46	14
Nlrp1a	chr11	71092236	71144454	-	52219	349	297	293	166
Utp14b	chr1	78658288	78671512	+	13225	137.50	180	81.50	26
Zfp691	chr4	119169513	119173945	-	4433	82	64	50	24
Rb1	chr14	73195502	73325572	-	130071	1534	1712	1242.50	334.50
Rbbp4	chr4	129307100	129335120	-	28021	835.50	704.50	476.50	94
Rbbp6	chr7	122965936	123002557	+	36622	1045	867	521	108
Rbl1	chr2	157145893	157204284	-	58392	1089	749	563	182
Rbl2	chr8	91070307	91123844	+	53538	778.50	886.50	530	158
Rbm3	chrX	8138975	8145630	-	6656	432	338	211.50	22.50
Rbm4	chr19	4784293	4801752	-	17460	689.83	640.17	324.67	38.83
Rbm6	chr9	107773559	107872579	-	99021	2006	1750	1120	273
Rbmx	chrX	57383530	57392786	-	9257	173	192	125	32
Rbmxl1	chr8	78505269	78508648	-	3380	67	56	42	7
Rbpms	chr8	33782643	33929613	-	146971	2885	2439	1327	509
Rbpj	chr5	53466402	53657362	+	190961	4179	3493	2448	899
Rce1	chr19	4622591	4625391	-	2801	85	69	38	28
Rcn1	chr2	105386291	105399069	-	12779	210	197	105	40
Pitpnm2	chr5	124118690	124249510	-	130821	3256	2714	1526	811
Rdh5	chr10	128913593	128919047	-	5455	217	388.50	154	15
Rdx	chr9	52047423	52100463	+	53041	1199	1015	568	152
Rfc1	chr5	65261850	65335420	-	73571	1903	1740	1209	334
Recql	chr6	142350342	142386837	-	36496	462	344.50	273	96.50
Rel	chr11	23736847	23770720	-	33874	571	649	399	99
Rela	chr19	5637733	5648130	+	10398	373	377	277	70
Relb	chr7	19606217	19629188	-	22972	623	772	265	96
Renbp	chrX	73922121	73930600	-	8480	152	202	131	51
Upf1	chr8	70331525	70353028	-	21504	776	617	439	103
Reps1	chr10	18056111	18125155	+	69045	1290	949	570	217
Dpf2	chr19	5896516	5912760	-	16245	594	574	368	114
Rest	chr5	77265741	77286432	+	20692	811	574	451	117
Rev3l	chr10	39732368	39875211	+	142844	1815	1634	958	385
Rfc2	chr5	134581616	134601805	+	20190	891	1042.50	541.50	115
Rfng	chr11	120780746	120783957	-	3212	80	56	54	16
Trim27	chr13	21179695	21194724	+	15030	516	364	242	64
Rfx1	chr8	84067084	84096992	+	29909	805.50	820	388	135.50
Rfx2	chr17	56775897	56830763	-	54867	942	708	439	246
Rfx3	chr19	27761721	28010916	-	249196	3386	2113	1672	912
Rfxank	chr8	70130794	70138904	-	8111	179.50	149	99.50	30
Slc50a1	chr3	89268246	89270320	-	2075	55	48	43	19
Ralgds	chr2	28513375	28553081	+	39707	741	523	315	196
Rgl1	chr1	152516760	152766101	-	249342	2960	2358	1472	912
Rgl2	chr17	33929793	33937687	+	7895	257	246	144	32
Rgs2	chr1	143999338	144003911	-	4574	299	395	286	18
Rgs5	chr1	169655751	169695813	+	40063	248	219	202	113
Rheb	chr5	24802823	24842374	-	39552	1341	1216	688	191
Rhd	chr4	134864786	134896172	+	31387	517	515	362	140
Ring1	chr17	34020792	34024430	-	3639	82	65	51	13
Ralbp1	chr17	65848418	65885548	-	37131	833	1016	508	175
Ripk1	chr13	34002613	34037147	+	34535	742.50	785	415	90.50
Rit1	chr3	88717088	88731049	+	13962	373	311	248	49
Xpr1	chr1	155275701	155417165	-	141465	1807	1377	869	401
Uri1	chr7	37959992	38023301	-	63310	928	780	526	168
Rnaseh1	chr12	28649852	28659589	+	9738	138	117	86	32
Rlim	chrX	103957163	103981034	-	23872	672	398	357	110
Rnf2	chr1	151458004	151500705	-	42702	1109.50	1000	688	153.50
Rnf4	chr5	34336539	34353439	+	16901	987	702	448	83
Rnf7	chr9	96470937	96478425	-	7489	109	103	70	24
Rnps1	chr17	24414896	24425901	+	11006	265	242	166	33
Rock1	chr18	10064401	10181795	-	117395	1716	1482	983	259
Rock2	chr12	16895145	16987823	+	92679	1469	1262	890	227
Slc22a8	chr19	8591504	8611835	+	20332	332	313	178	127
Rom1	chr19	8927391	8929106	-	1716	95	82.50	60	18
Rora	chr9	68654036	69388246	+	734211	6422	4306	3331	2392
Rpa2	chr4	132768582	132778752	+	10171	206	230	165	44
Rpgr	chrX	10073621	10216670	-	143050	972	722	624	508
Rph3a	chr5	120940499	121009842	-	69344	702	538	426	383
Rpia	chr6	70765720	70791982	-	26263	552	551	295	86
Rpl10a	chr17	28328721	28331033	+	2313	148	112	64	12
Rpl18	chr7	45715707	45720836	+	5130	225.50	201.50	124.50	35
Rpl19	chr11	98026960	98030492	+	3533	143	97	64	16
Rpl21	chr5	146833140	146837032	+	3893	178	191	86	30
Rpl22	chr4	152325992	152334071	+	8080	495	323	173	41
Mrpl23	chr7	142532936	142540747	+	7812	98	70	41	23
Rpl26	chr11	68901833	68904534	+	2702	58	44	27.50	8
Rpl27	chr11	101442548	101445529	+	2982	153	106	79	20
Rpl28	chr7	4793124	4795066	+	1943	114.50	67.50	38.50	12.50
Rpl29	chr9	106429704	106431568	+	1865	71	70	39	11
Rpl30	chr15	34440505	34443390	-	2886	159	161.50	53	10.50
Rpl32	chr6	115805505	115808497	-	2993	157.50	108.50	60	11.50
Rpl37a	chr1	72711540	72713813	+	2274	53	40	26	10
Rpl36a	chrX	134585904	134588062	+	2159	74	65	44	10.50
Rpl6	chr5	121204731	121209241	+	4511	246	249	143	39
Rpl7	chr1	16101295	16104412	-	3118	112	79	41	14
Rpl9	chr5	65388364	65391194	-	2831	178	232	125	19
Rpn2	chr2	157279267	157326319	+	47053	1217	959.50	592.50	170
Polr1c	chr17	46243920	46247804	-	3885	310.50	196	150	18
Polr1b	chr2	129101245	129126594	+	25350	527	313	283	89
Polr1d	chr5	147077300	147111597	+	34298	1191	770	606	164
Polr1a	chr6	71909303	71984935	+	75633	1843	1314	908	231
Polr2a	chr11	69733997	69758387	-	24391	607	718	353	96
Polr2c	chr8	94857700	94873535	+	15836	382	426	176	51
Polr2j	chr5	136116881	136122947	+	6067	344.50	280.50	155	39
Sub1	chr15	11981339	11996733	-	15395	333	291	220	42
Rps12	chr10	23785183	23787025	-	1843	147	74	54	6
Rps14	chr18	60747348	60778546	+	31199	793	628	374.50	138
Rps15	chr10	80292703	80294114	+	1412	82	77	38	8
Rps16	chr7	28350902	28353155	+	2254	112	111	69	6
Rps17	chr7	81342732	81345004	-	2273	94	42	40	14
Rps18	chr17	33951999	33955427	-	3429	201	169	121	21
Rps19	chr7	24884621	24889806	+	5186	341	238	172	25
Rps24	chr14	24487375	24496959	+	9585	315	245	133	34
Rps29	chr12	69157722	69158936	-	1215	79	77	36	7
Rps3a1	chr3	86137940	86142452	-	4513	260	142	122	14
Rps4x	chrX	102184941	102189144	-	4204	166	146	71	22
Rps5	chr7	12922540	12926686	+	4147	156	109	67	9
Rps6	chr4	86854660	86857162	-	2503	142	140	75	10
Rps6ka1	chr4	133847290	133887547	-	40258	1105	1427	778	174
Rps6ka2	chr17	7170365	7303315	+	132951	2177	3705	1866	483
Rps7	chr12	28630854	28635703	-	4850	192	104	77	34
Rps8	chr4	117153827	117155993	-	2167	114	87	53	15
Trim30a	chr7	104409025	104464943	-	55919	365	346	246	149
Rras	chr7	45018211	45021647	+	3437	149	104	77	12
Rrm1	chr7	102441945	102469771	+	27827	676	618	358	86
Rrm2	chr12	24708491	24714146	+	5656	202	118	108	30
Dhrs3	chr4	144893077	144928209	+	35133	598	1280	406	130
Rsu1	chr2	13076821	13271165	-	194345	2387	1977	1464	594
Rtkn	chr6	83135713	83152579	+	16867	239	226.50	131	66.50
Rtn3	chr19	7425901	7483031	-	57131	1965	2106	1290	261
Hps6	chr19	46003758	46006173	+	2416	69	73	48	28
Ruvbl2	chr7	45421760	45437846	-	16087	651.50	850.50	365	78.50
Rxra	chr2	27676690	27762957	+	86268	1132	769	565	408
Rxrb	chr17	34032062	34038399	+	6338	210	174	130	33
Uimc1	chr13	55027880	55100050	-	72171	1203	1135	696	224
Ncor1	chr11	62316426	62458291	-	141866	3161.50	3115	1925	390.50
Ryr1	chr7	29003344	29124929	-	121586	1382	1271	779.50	469.50
S100a1	chr3	90511034	90514142	-	3109	84	56	59	19
S100a10	chr3	93555330	93564643	+	9314	207	91	89	36
S100a11	chr3	93520738	93526287	+	5550	129	77	72	20
S100a13	chr3	90514685	90524581	+	9897	188	129	80	41
S100a4	chr3	90602154	90606045	+	3892	107	82	39	14
S100a6	chr3	90613132	90624181	+	11050	164	84	80	40
S100a8	chr3	90669228	90670035	+	808	10	9	4	1
S100a9	chr3	90692632	90695471	-	2840	26	13	15	10
Saa3	chr7	46711998	46715450	-	3453	61	51	21	14
Acsm3	chr7	119761173	119787513	+	26341	159.50	91	85.50	48
Khdrbs1	chr4	129703164	129742053	-	38890	1324	1169	617	120
Sap18	chr14	57798430	57806638	+	8209	297.50	292.50	145	38
Sf3a2	chr10	80798448	80804924	+	6477	287.50	269.50	142.50	40
Sar1a	chr10	61680549	61693297	+	12749	187	199	119	46
Sars	chr3	108424865	108444959	-	20095	568	438	406	73
Sart1	chr19	5377523	5388453	-	10931	485	349	279	73
Sat1	chrX	155213132	155216199	-	3068	46	51	39	10
Satb1	chr17	51736187	51833040	-	96854	1009	891	679	266
Atxn1	chr13	45549755	45964758	-	415004	4970	5117	3098	1295
Atxn2	chr5	121711587	121816493	+	104907	3510.50	3698	1939.50	516.50
Scd2	chr19	44293924	44306864	+	12941	1171	1375	508	89
Clec11a	chr7	44302687	44306652	-	3966	374	547	113	27
Scin	chr12	40059769	40133978	-	74210	520	376	291	168
Scn1b	chr7	31116524	31126753	-	10230	277	178	160	45
Scnn1a	chr6	125320909	125344943	+	24035	355	391	193	95
Scp2	chr4	108043839	108144748	-	100910	1027	948	655	374
Scrg1	chr8	57456173	57477585	+	21413	175	168	98	58
Zc3h7b	chr15	81745307	81796260	+	50954	862.50	863.50	440.50	192.50
Msr1	chr8	39581685	39642423	-	60739	292	211	215	168
Ccl2	chr11	82035821	82037453	+	1633	27	9	9	6
Ccl25	chr8	4325460	4360020	+	34561	803	723.50	408	93
Ccl27a	chr4	41769467	41773997	-	4531	71.50	40.50	27	17.50
Ccl3	chr11	83647844	83649105	-	1262	56	79	21	7
Ccl4	chr11	83662834	83664683	+	1850	24	28	11	8
Ccl5	chr11	83525778	83530268	-	4491	63	56	47	14
Ccl6	chr11	83587882	83592837	-	4956	55	75	29	15
Ccl7	chr11	82045962	82047525	+	1564	22	6	4	7
Ccl9	chr11	83572919	83578386	-	5468	253	372	88	24
Cxcl2	chr5	90904121	90905938	+	1818	35	15	20	10
Sdf2	chr11	78245996	78255496	+	9501	182	118.50	105	31.50
Serpinf1	chr11	75409769	75422451	-	12683	288	278	110	49
Sdf4	chr4	155993122	156013610	+	20489	794	720	369	79
Nptn	chr9	58582490	58657955	+	75466	1277	1203	699	209
Frrs1	chr3	116859714	116908177	+	48464	849	943	586	162
Sord	chr2	122234999	122265340	+	30342	515	626	267	87
Sec22b	chr3	97901440	97923276	+	21837	471	630	267	76
Sec23a	chr12	58958383	59011767	-	53385	552	425	318	138
Sec61g	chr11	16500530	16508234	-	7705	116	92	59	25
Exoc4	chr6	33249335	33973979	+	724645	6464	4196	3666	1979
Sel1l	chr12	91806043	91848907	-	42865	738	640	533	152
Glg1	chr8	111154421	111258966	-	104546	1596	1494	827	318
Selenbp1	chr3	94933306	94944758	+	11453	255	229	137	32
Selenbp2	chr3	94693806	94704413	+	10608	122	101	70	38
Sell	chr1	164062232	164084181	+	21950	395	906	382	102
Selp	chr1	164115514	164150026	+	34513	638	830	356	123
Selplg	chr5	113818547	113832394	-	13848	319	372	200	80
Sema4a	chr3	88435959	88460932	-	24974	579	729	328	93
Sema4b	chr7	80187091	80226527	+	39437	1055	1213	537	192
Sema4c	chr1	36548639	36558099	-	9461	240	205	92	43
Sema4d	chr13	51685529	51793497	-	107969	2093	2122	1224	420
Sema6b	chr17	56123085	56140093	-	17009	354	480	178	89
Serf1	chr13	100108262	100114571	+	6310	89	64	51	27
Foxp3	chrX	7579817	7595245	+	15429	240.50	177.50	141	72
Spi1	chr2	91082640	91115756	+	33117	1075	2173	947	143
Srsf2	chr11	116849901	116852844	-	2944	119.50	40.83	70.00	5.67
Srsf3	chr17	29032878	29043373	+	10496	646	431	316	35
Srsf5	chr12	80945754	80950507	+	4754	390	192	238	20
Sgpl1	chr10	61098642	61147453	-	48812	651	661	423	157
Sh2b1	chr7	126466994	126475174	-	8181	401	540	193	49
Sh3bp1	chr15	78899917	78919032	+	19116	655	779	396	88
Zfp106	chr2	120506820	120563593	-	56774	1227	923	668	195
Itsn2	chr12	4592888	4713962	+	121075	2025	1932	1277	420
Sh3gl1	chr17	56016750	56036385	-	19636	767.50	779.50	378.50	98.50
Ostf1	chr19	18516137	18631573	-	115437	2185	1986	1434	537
Sorbs3	chr14	70180468	70211739	-	31272	451	343	234	135
Sorbs1	chr19	40294753	40513529	-	218777	3308	2094	1624	1093
Shc1	chr3	89418693	89430027	+	11335	428	371	243	54
Shcbp1	chr8	4735976	4779317	-	43342	386	344	232	112
Shmt1	chr11	60788104	60811468	-	23365	703.50	624	403.50	75
Cyfip1	chr7	55841995	55932602	+	90608	1485.50	1157	775	269
Pmel	chr10	128704445	128720238	+	15794	286.50	280	162.50	60
Siah1a	chr8	86724007	86745684	-	21678	430.50	350.50	246.50	77
Siah1b	chrX	164070705	164076243	-	5539	101	72	41	29
Siah2	chr3	58674938	58692150	-	17213	362	300	202	69
St6gal1	chr16	23224990	23360350	+	135361	1671	1887	825.50	473
St3gal3	chr4	117932154	118134664	-	202511	2984	2355	1773	685
St3gal1	chr15	67102875	67176580	-	73706	1854	2974	761	304
St3gal4	chr9	35046576	35119018	-	72443	1614.50	1596.50	921.50	227.50
St3gal2	chr8	110920172	110972480	+	52309	1058	1093	473	200
St6galnac2	chr11	116675303	116694618	-	19316	891	427	345	92
St6galnac3	chr3	153198266	153724924	-	526659	7255	12371	5285	1806
St6galnac4	chr2	32587345	32599698	+	12354	313.50	246.50	135.50	58
St8sia4	chr1	95587682	95667321	-	79640	1235	3244	845	207
St3gal5	chr6	72097842	72154571	+	56730	624	465	317	204
Stil	chr4	115000409	115043196	+	42788	730	571	367	116
Tra2b	chr16	22244549	22265755	-	21207	1384	645	665	61
Cox7a2l	chr17	83501918	83517080	-	15163	396	255	199	54
Sim2	chr16	94085181	94127032	+	41852	430	282	219	141
Sin3a	chr9	57072290	57128366	+	56077	1903	2060.50	860	170.50
Sin3b	chr8	72723535	72758201	+	34667	693	545	332	153
Sipa1	chr19	5651185	5663457	-	12273	714	657	375	88
Six1	chr12	73041827	73053637	-	11811	203	191	100	59
Six4	chr12	73099609	73113206	-	13598	169	238	114	48
Six5	chr7	19094844	19098549	+	3706	101	115	43	31
Vps4b	chr1	106764071	106796478	-	32408	753	703	456	102
Clpb	chr7	101663883	101795506	+	131624	2206	1364	1159	485
Ski	chr4	155154075	155222342	-	68268	1568	1835	762	312
Skil	chr3	31095308	31122577	+	27270	338	244	167	86
Sla	chr15	66780819	66831579	-	50761	661	1184	391	105
Slbp	chr5	33634952	33652324	-	17373	934	708	523	101
Slc12a2	chr18	57878928	57946821	+	67894	589	401	283	190
Slc12a4	chr8	105943590	105965847	-	22258	385	355	220	98
Slc12a7	chr13	73733344	73816754	+	83411	1078	661	470	321
Slc13a2	chr11	78397087	78421967	-	24881	354	234	167	120
Slc16a1	chr3	104638918	104658462	+	19545	706	463	301	59
Slc16a7	chr10	125219270	125389215	-	169946	920	725	685	418
Slc19a1	chr10	77032491	77061002	+	28512	695	351.50	255.50	94
Slc1a5	chr7	16781590	16798274	+	16685	600	280	317	76
Slc20a1	chr2	129199014	129211616	+	12603	300	186	160	38
Slc20a2	chr8	22477038	22569612	+	92575	1459	1029	814.50	279
Slc22a3	chr17	12418960	12507454	-	88495	1446	1005	500	319
Slc22a5	chr11	53864542	53891410	-	26869	432	273	208	97
Slc25a14	chrX	48623663	48662294	+	38632	427	252	177	127
Slc25a17	chr15	81318911	81360562	-	41652	789	553	404	155
Slc2a1	chr4	119108961	119137983	+	29023	755	594	524	139
Slc2a3	chr6	122727809	122801390	-	73582	936	709	530	267
Slc31a1	chr4	62360977	62391769	+	30793	481	356	288	86
Slc31a2	chr4	62262812	62298411	+	35600	492	427	346	133
Slc3a1	chr17	85028626	85064236	+	35611	540	384.50	324.50	118
Slc4a1ap	chr5	31527245	31556932	+	29688	632	509	355.50	133.50
Slc4a2	chr5	24424087	24440950	+	16864	555.50	558.50	324	111.50
Slc7a5	chr8	121881150	121907444	-	26295	514	290	273.50	62
Slc7a7	chr14	54369442	54417530	-	48089	787.50	475.50	430.50	160
Slc8a1	chr17	81373105	81738127	-	365023	2303	1636	1367	978
Slc9a1	chr4	133369956	133423702	+	53747	942	795	483	245
Slfn1	chr11	83117099	83122670	+	5572	74	43	37	25
Slfn2	chr11	83065362	83070678	+	5317	91	91	64	16
Slfn3	chr11	83191580	83215154	+	23575	279	169	172	73
Slfn4	chr11	83175436	83190216	+	14781	183	89	79	49
Slpi	chr2	164354070	164388845	-	34776	444	498	275	157
Hltf	chr3	20058061	20118490	+	60430	1017	882	749	163
Smarca4	chr9	21616419	21704230	+	87812	2608	2349	1334	307
Smarcb1	chr10	75896769	75921367	-	24599	500	394	274	88
Smarcc1	chr9	110117958	110240178	+	122221	2914	2236	1256.50	364
Ighmbp2	chr19	3259076	3282767	-	23692	549	349	292	141
Kdm5c	chrX	152233270	152274535	+	41266	1350	1214	680	171
Smn1	chr13	100125102	100137690	+	12589	234	215	223	31
Smpd1	chr7	105554610	105558389	+	3780	54	39	29	16
Smpd2	chr10	41485642	41490119	-	4478	162.50	234.50	80.50	18
Ncor2	chr5	125017153	125178969	-	161817	4668	5240	2028	1072
Sms	chrX	157443855	157492037	-	48183	759	586	361	196
Sumo3	chr10	77606347	77641543	+	35197	643	712.50	408	89
Siglec1	chr2	131069220	131086515	-	17296	209	176	124	88
Snapin	chr3	90488026	90490783	-	2758	290.50	197.50	141	9
Snap23	chr2	120567921	120601255	+	33335	549	595	365	107
Plk2	chr13	110395296	110400844	+	5549	52	35	24	25
Snn	chr16	11061195	11074985	+	13791	430.50	387.50	198.50	50.50
Snrk	chr9	122117516	122169702	+	52187	803	882	624	177
Eftud2	chr11	102838473	102880735	-	42263	866	613	398	145
Snrpc	chr17	27838400	27851968	+	13569	262	261	177	41
Snrnp70	chr7	45376453	45395492	-	19040	871	678	474	69
Snrpb	chr2	130171414	130179153	-	7740	208	105	91	39
Snrpb2	chr2	143063289	143072853	+	9565	102	107	61	23
Snrpd1	chr18	10618025	10640068	+	22044	827	516	340	51
Snrpe	chr1	133603871	133610041	-	6171	161	123	98	25
Sntb2	chr8	106936000	107019714	+	83715	1170	1214	730	281
Soat1	chr1	156424525	156474081	-	49557	935	1566	850	155
Sod1	chr16	90221004	90226329	+	5326	288	211	128	23
Sod2	chr17	13007096	13020134	+	13039	316	326	156	49
